data,label
"[2013, 24, 6, 20, 5]",9
"[2013, 24, 6, 21, 5]",11
"[2013, 24, 6, 22, 1]",2
"[2013, 24, 6, 23, 1]",4
"[2013, 25, 0, 0, 1]",0
"[2013, 25, 0, 1, 1]",0
"[2013, 25, 0, 2, 1]",0
"[2013, 25, 0, 3, 1]",0
"[2013, 25, 0, 4, 1]",0
"[2013, 25, 0, 5, 1]",0
"[2013, 25, 0, 6, 1]",0
"[2013, 25, 0, 7, 1]",2
"[2013, 25, 0, 8, 1]",0
"[2013, 25, 0, 9, 1]",0
"[2013, 25, 0, 10, 1]",1
"[2013, 25, 0, 11, 1]",8
"[2013, 25, 0, 12, 1]",13
"[2013, 25, 0, 13, 1]",1
"[2013, 25, 0, 14, 1]",6
"[2013, 25, 0, 15, 1]",10
"[2013, 25, 0, 16, 1]",6
"[2013, 25, 0, 17, 1]",6
"[2013, 25, 0, 18, 1]",4
"[2013, 25, 0, 19, 1]",1
"[2013, 25, 0, 20, 1]",4
"[2013, 25, 0, 21, 1]",7
"[2013, 25, 0, 22, 1]",3
"[2013, 25, 0, 23, 1]",4
"[2013, 25, 1, 0, 1]",0
"[2013, 25, 1, 1, 1]",0
"[2013, 25, 1, 2, 1]",0
"[2013, 25, 1, 3, 1]",0
"[2013, 25, 1, 4, 1]",0
"[2013, 25, 1, 5, 1]",8
"[2013, 25, 1, 6, 1]",6
"[2013, 25, 1, 7, 1]",29
"[2013, 25, 1, 8, 1]",56
"[2013, 25, 1, 9, 1]",31
"[2013, 25, 1, 10, 1]",4
"[2013, 25, 1, 11, 1]",3
"[2013, 25, 1, 12, 1]",3
"[2013, 25, 1, 13, 1]",3
"[2013, 25, 1, 14, 1]",3
"[2013, 25, 1, 15, 1]",12
"[2013, 25, 1, 16, 1]",22
"[2013, 25, 1, 17, 1]",51
"[2013, 25, 1, 18, 1]",52
"[2013, 25, 1, 19, 1]",36
"[2013, 25, 1, 20, 2]",15
"[2013, 25, 1, 21, 1]",21
"[2013, 25, 1, 22, 2]",9
"[2013, 25, 1, 23, 1]",5
"[2013, 25, 2, 0, 1]",7
"[2013, 25, 2, 1, 4]",0
"[2013, 25, 2, 2, 4]",0
"[2013, 25, 2, 3, 1]",0
"[2013, 25, 2, 4, 1]",0
"[2013, 25, 2, 5, 2]",2
"[2013, 25, 2, 6, 1]",10
"[2013, 25, 2, 7, 2]",27
"[2013, 25, 2, 8, 1]",56
"[2013, 25, 2, 9, 1]",44
"[2013, 25, 2, 10, 1]",14
"[2013, 25, 2, 11, 1]",4
"[2013, 25, 2, 12, 1]",2
"[2013, 25, 2, 13, 1]",10
"[2013, 25, 2, 14, 1]",8
"[2013, 25, 2, 15, 1]",13
"[2013, 25, 2, 16, 1]",19
"[2013, 25, 2, 17, 1]",52
"[2013, 25, 2, 18, 2]",66
"[2013, 25, 2, 19, 1]",25
"[2013, 25, 2, 20, 1]",12
"[2013, 25, 2, 21, 1]",12
"[2013, 25, 2, 22, 1]",18
"[2013, 25, 2, 23, 1]",9
"[2013, 25, 3, 0, 1]",7
"[2013, 25, 3, 1, 1]",0
"[2013, 25, 3, 2, 1]",0
"[2013, 25, 3, 3, 1]",0
"[2013, 25, 3, 4, 3]",0
"[2013, 25, 3, 5, 1]",2
"[2013, 25, 3, 6, 1]",10
"[2013, 25, 3, 7, 1]",20
"[2013, 25, 3, 8, 1]",50
"[2013, 25, 3, 9, 2]",50
"[2013, 25, 3, 10, 2]",24
"[2013, 25, 3, 11, 1]",15
"[2013, 25, 3, 12, 1]",14
"[2013, 25, 3, 13, 1]",12
"[2013, 25, 3, 14, 1]",8
"[2013, 25, 3, 15, 1]",17
"[2013, 25, 3, 16, 1]",13
"[2013, 25, 3, 17, 1]",68
"[2013, 25, 3, 18, 1]",90
"[2013, 25, 3, 19, 1]",30
"[2013, 25, 3, 20, 1]",19
"[2013, 25, 3, 21, 4]",12
"[2013, 25, 3, 22, 5]",4
"[2013, 25, 3, 23, 1]",2
"[2013, 25, 4, 0, 1]",0
"[2013, 25, 4, 1, 1]",0
"[2013, 25, 4, 2, 3]",0
"[2013, 25, 4, 3, 5]",0
"[2013, 25, 4, 4, 3]",0
"[2013, 25, 4, 5, 3]",2
"[2013, 25, 4, 6, 3]",13
"[2013, 25, 4, 7, 1]",24
"[2013, 25, 4, 8, 2]",46
"[2013, 25, 4, 9, 2]",37
"[2013, 25, 4, 10, 2]",27
"[2013, 25, 4, 11, 1]",13
"[2013, 25, 4, 12, 1]",13
"[2013, 25, 4, 13, 1]",12
"[2013, 25, 4, 14, 1]",16
"[2013, 25, 4, 15, 1]",14
"[2013, 25, 4, 16, 1]",13
"[2013, 25, 4, 17, 1]",39
"[2013, 25, 4, 18, 1]",63
"[2013, 25, 4, 19, 1]",21
"[2013, 25, 4, 20, 3]",24
"[2013, 25, 4, 21, 3]",7
"[2013, 25, 4, 22, 3]",4
"[2013, 25, 4, 23, 4]",3
"[2013, 25, 5, 0, 5]",3
"[2013, 25, 5, 1, 4]",0
"[2013, 25, 5, 2, 2]",0
"[2013, 25, 5, 3, 2]",0
"[2013, 25, 5, 4, 2]",0
"[2013, 25, 5, 5, 2]",1
"[2013, 25, 5, 6, 2]",9
"[2013, 25, 5, 7, 1]",18
"[2013, 25, 5, 8, 1]",50
"[2013, 25, 5, 9, 1]",29
"[2013, 25, 5, 10, 1]",8
"[2013, 25, 5, 11, 4]",11
"[2013, 25, 5, 12, 4]",12
"[2013, 25, 5, 13, 4]",9
"[2013, 25, 5, 14, 3]",20
"[2013, 25, 5, 15, 2]",13
"[2013, 25, 5, 16, 2]",23
"[2013, 25, 5, 17, 5]",46
"[2013, 25, 5, 18, 2]",30
"[2013, 25, 5, 19, 2]",13
"[2013, 25, 5, 20, 1]",5
"[2013, 25, 5, 21, 3]",5
"[2013, 25, 5, 22, 1]",6
"[2013, 25, 5, 23, 2]",3
"[2013, 25, 6, 0, 2]",3
"[2013, 25, 6, 1, 4]",0
"[2013, 25, 6, 2, 2]",2
"[2013, 25, 6, 3, 2]",0
"[2013, 25, 6, 4, 4]",0
"[2013, 25, 6, 5, 3]",0
"[2013, 25, 6, 6, 5]",0
"[2013, 25, 6, 7, 5]",2
"[2013, 25, 6, 8, 5]",0
"[2013, 25, 6, 9, 1]",4
"[2013, 25, 6, 10, 5]",2
"[2013, 25, 6, 11, 3]",4
"[2013, 25, 6, 12, 3]",4
"[2013, 25, 6, 13, 3]",5
"[2013, 25, 6, 14, 5]",5
"[2013, 25, 6, 15, 5]",12
"[2013, 25, 6, 16, 1]",5
"[2013, 25, 6, 17, 1]",13
"[2013, 25, 6, 18, 1]",11
"[2013, 25, 6, 19, 1]",7
"[2013, 25, 6, 20, 2]",4
"[2013, 25, 6, 21, 1]",4
"[2013, 25, 6, 22, 1]",6
"[2013, 25, 6, 23, 3]",2
"[2013, 26, 0, 0, 3]",1
"[2013, 26, 0, 1, 1]",5
